Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDG12,OUT046,113095.75992181222
DRB01,OUT019,174297.62699691753
NCC43,OUT027,231531.17956011856
FDX13,OUT019,228749.37431976994
FDM22,OUT049,47906.03994097513
FDJ03,OUT027,39065.36923344152
FDU14,OUT018,238668.87352640246
FDB33,OUT010,147731.4905376367
FDP27,OUT046,178484.94311287213
FDO38,OUT010,69186.2051988858
FDE28,OUT027,213865.76852001864
FDO27,OUT035,90032.01207456412
DRL23,OUT027,94619.03617057955
FDS28,OUT046,49994.38654438004
FDX24,OUT013,81396.5290398719
FDZ02,OUT035,90966.87664412822
FDL46,OUT045,109843.35960852202
FDS60,OUT027,162997.61655497472
NCO06,OUT017,31626.037225115313
FDO16,OUT035,79762.35341242513
FDC60,OUT049,80582.38431645875
FDA48,OUT018,210457.44439541316
FDZ36,OUT027,170317.0581682772
FDK27,OUT045,113367.80532174234
FDW23,OUT018,37373.252933955046
FDM14,OUT018,105448.9168488792
FDM14,OUT013,96387.70872895459
FDW60,OUT018,170018.1534601967
FDE21,OUT013,104227.2925103144
NCM42,OUT035,103383.13695416163
FDY59,OUT010,85595.31637469628
DRI49,OUT049,74850.19679063577
FDT28,OUT019,135877.1798268624
FDQ22,OUT018,38148.63288402044
FDR60,OUT049,70282.64029924937
FDC50,OUT019,81919.82691461427
FDV24,OUT013,137920.55948277345
DRF48,OUT010,175684.0625614339
FDQ47,OUT046,31507.44440135494
DRN36,OUT049,90166.00393517676
NCY06,OUT035,121741.81393705812
FDE52,OUT035,84472.98120588194
NCB54,OUT045,119325.70221848211
NCF31,OUT035,144620.27606720215
FDJ08,OUT027,173517.74445285276
NCC07,OUT017,101312.60743243493
NCD19,OUT027,43732.254350902316
FDL46,OUT049,110773.49323247922
FDM20,OUT045,233138.27337788235
NCI06,OUT010,168146.1543588183
DRM11,OUT035,246436.31995324782
NCH07,OUT018,151543.24036610458
FDS23,OUT013,116639.50022912088
FDO49,OUT018,47212.24817054142
FDS35,OUT049,59533.8176570936
DRK39,OUT045,76932.99457116015
DRI39,OUT049,52862.28118601468
FDV04,OUT017,150833.65603265393
NCN14,OUT035,173240.88707706693
FDH08,OUT013,213589.82804554314
FDS20,OUT046,171219.6197581662
FDV40,OUT049,69223.45442014618
FDZ48,OUT010,101477.20150099862
FDS24,OUT027,75987.27357017525
FDK44,OUT049,163645.54790779267
FDS48,OUT045,141806.16778140565
FDK26,OUT010,174313.9054090326
FDD23,OUT045,178178.70571638766
NCH54,OUT017,154138.07345625552
NCP14,OUT010,97595.12636205686
FDM60,OUT010,33591.8527886222
FDV24,OUT017,144392.9837724713
FDH08,OUT018,218644.0335933549
FDS12,OUT027,114215.75953065067
FDR39,OUT027,164778.6686220679
FDP12,OUT027,27269.94470646747
DRF60,OUT027,218031.08891267498
FDC09,OUT035,97095.05608026899
FDF50,OUT018,189799.56785788605
FDG28,OUT035,231759.85362126646
NCE19,OUT017,52994.30553640601
NCM53,OUT010,99262.88538464495
NCN18,OUT049,103097.34385760868
FDF32,OUT035,189064.0490028154
FDF11,OUT013,221588.55082273987
DRI59,OUT049,212108.73119045666
NCG54,OUT035,160762.91844967962
FDM44,OUT046,93355.1268874142
FDT57,OUT018,225749.1523143971
FDV24,OUT046,140835.85338716416
FDI50,OUT019,208943.41535711338
FDS09,OUT035,47896.14291160087
NCC31,OUT027,139934.39167214764
FDQ07,OUT019,200554.34870049547
FDC22,OUT017,183123.94272148047
FDZ56,OUT046,158196.02493528702
FDZ40,OUT019,43009.63051618227
FDS46,OUT027,105398.54819545985
DRD24,OUT045,132392.56553826993
FDV45,OUT017,180549.6297053765
FDL26,OUT045,146909.34664744785
FDA56,OUT018,117751.08217023939
FDN27,OUT046,109393.93486317249
FDM20,OUT049,231014.9783466448
FDO16,OUT017,79064.7546491346
FDL03,OUT035,185715.05525483
FDE58,OUT046,108266.6369815885
FDI02,OUT027,99532.90150843434
NCC55,OUT019,28645.735766970793
FDR03,OUT018,196738.89457852786
FDB14,OUT017,88478.78022604871
FDR45,OUT013,222964.71624863113
NCN07,OUT017,124140.4098419316
FDM51,OUT019,89138.83445687364
FDT52,OUT027,226123.93787127078
FDL26,OUT046,143846.0510938896
NCZ42,OUT046,224539.81531186783
DRI47,OUT019,130475.34834247328
FDW40,OUT013,127835.6438030282
FDN34,OUT046,158070.83614889567
FDS01,OUT035,169228.739996437
NCG55,OUT045,109125.83062542434
FDC11,OUT035,82494.23829532726
FDX35,OUT018,216354.65124311898
NCB06,OUT046,149648.9152056343
FDR09,OUT019,239507.00904561777
FDC53,OUT017,92542.31062770085
FDY45,OUT013,236647.01216190623
FDA22,OUT010,156749.09233979136
FDE02,OUT035,89943.56566271016
FDW21,OUT045,94427.3166544709
FDV34,OUT046,66835.51412524507
FDS59,OUT049,101427.66084810026
NCW17,OUT017,122113.41655056695
NCK54,OUT046,108429.10852098325
FDG17,OUT019,224596.12789980444
FDG35,OUT017,165251.76703264855
FDD08,OUT010,32086.468723075206
NCO07,OUT017,201503.08231316842
FDJ10,OUT010,131711.63114234735
FDW36,OUT017,99343.34765053913
FDW21,OUT010,92362.29736552287
FDY19,OUT017,112727.95200333884
DRE03,OUT013,38038.89281507498
NCC55,OUT049,33678.157434212
FDH52,OUT010,56684.414253028845
FDO09,OUT017,252613.43415652023
FDU43,OUT045,226740.59043967855
FDX09,OUT010,162963.2499696984
FDH40,OUT019,70878.09428588333
FDW58,OUT017,99764.24226325414
FDC47,OUT017,216904.30415631962
NCR41,OUT035,89142.07884620641
DRG49,OUT035,232526.24256537497
FDC52,OUT027,137716.18530898963
FDY13,OUT046,67756.8043924965
FDY35,OUT013,35172.93997003589
FDI35,OUT017,173500.2204738765
NCU18,OUT049,132215.21529501368
FDY33,OUT018,151630.4212107638
FDC15,OUT027,142717.58794768105
FDU01,OUT049,175238.28019583112
NCU42,OUT046,158344.42531590164
NCV29,OUT018,169870.19845500382
NCY30,OUT017,174587.19390751622
FDQ46,OUT049,104241.7322849029
FDG58,OUT027,139189.5441148784
FDK33,OUT017,203547.2887032067
NCD07,OUT045,108557.64586774712
NCX29,OUT027,130220.6947538808
NCT42,OUT013,134610.69064441306
DRN59,OUT035,42854.91423640676
FDI44,OUT035,74472.17036237282
FDA45,OUT049,167341.34080406502
FDP31,OUT045,60990.394140328724
FDY01,OUT046,106517.17683395116
FDT09,OUT018,127116.99229414866
DRH03,OUT027,82884.57819234773
FDA36,OUT018,178455.7996902793
NCF31,OUT017,146403.2001821157
FDG14,OUT049,141620.51421854802
FDG28,OUT027,226696.3463395582
FDU14,OUT049,235943.22691916235
FDY47,OUT019,116675.42733913517
FDI56,OUT049,83508.16140406321
DRD01,OUT013,46991.51647441217
FDM22,OUT046,48969.87907894378
FDH33,OUT013,33422.05426245725
DRZ24,OUT013,106094.55907810095
NCQ38,OUT046,97009.65116704634
FDO16,OUT027,72614.94723392924
FDU07,OUT027,134833.56023556882
NCB07,OUT013,178712.76970160182
FDU48,OUT045,124320.74001282245
NCM43,OUT045,155775.31802219883
FDR31,OUT010,133755.05524483844
DRK49,OUT018,39592.93929473184
NCI30,OUT010,229507.46620169524
DRD60,OUT017,172914.04241939765
NCG19,OUT046,221177.29343584136
FDH12,OUT035,99238.65725308805
FDM32,OUT035,86559.30993312002
FDM27,OUT035,147985.83097521376
NCU53,OUT027,150613.37864313417
NCQ18,OUT046,91226.3380949056
FDS10,OUT013,164046.76240856742
FDB33,OUT027,142647.33308961312
FDI12,OUT013,75058.24800003853
NCW42,OUT013,204405.94233099185
NCC06,OUT018,123110.84340354257
FDW02,OUT017,120120.60696499459
NCD43,OUT017,99553.00574833054
FDM57,OUT018,79555.00656573124
FDA58,OUT017,226063.93298587328
FDK56,OUT046,173283.42452281798
FDP52,OUT045,218858.39726220098
FDW20,OUT018,118685.2216697992
FDS52,OUT049,93039.29184568414
NCT29,OUT018,114702.95948051068
NCL54,OUT013,161603.87272292146
FDC05,OUT045,187424.0629584365
FDF34,OUT035,186815.14997817876
FDP03,OUT027,111183.67846882557
FDD32,OUT010,75428.39639124765
FDZ10,OUT045,119904.33315793869
FDZ40,OUT035,50681.81350750715
FDD51,OUT018,42107.1326254319
NCY30,OUT019,162893.26078693668
FDP58,OUT017,207995.8653303995
FDV49,OUT017,252246.28341588716
FDY24,OUT019,41585.236425995674
NCO55,OUT017,102331.98047718445
FDR13,OUT017,111371.40755092079
FDS51,OUT017,59245.481677766016
FDP26,OUT045,98120.22703738388
NCB54,OUT027,115741.9189789963
FDF32,OUT017,188175.6371677774
FDN31,OUT018,180833.05217484123
DRM48,OUT017,34499.25183488554
FDN20,OUT049,158575.82058533686
DRL01,OUT046,219122.1137296557
FDV56,OUT049,99627.71156947315
DRH13,OUT027,95218.30473812751
FDA03,OUT017,139007.26058538115
FDF47,OUT027,206047.44264428312
FDX32,OUT046,136385.8379856821
FDX57,OUT049,89365.32476044974
NCA30,OUT045,180087.85651085834
FDO49,OUT013,40154.5423005659
FDL04,OUT019,91886.41446570132
DRM48,OUT035,34624.42803506893
FDR16,OUT013,195675.03751593793
NCC19,OUT018,184166.29365547054
NCE42,OUT045,222942.4282156162
FDY24,OUT017,52456.193224087874
FDH19,OUT049,164702.1591161745
FDJ46,OUT013,158551.4435352893
FDN45,OUT010,210296.97936646323
FDY08,OUT035,132608.23562399796
FDZ37,OUT035,81695.24506949399
NCT30,OUT045,43414.95982955731
DRY23,OUT018,40347.2348082781
NCZ30,OUT018,116456.2621999777
FDC44,OUT018,108530.11688996127
FDB45,OUT035,98913.31665274607
FDY04,OUT013,148877.9643780487
FDM27,OUT046,148216.75457981494
FDZ43,OUT017,230249.4952240041
FDT39,OUT019,135381.0983878574
NCC06,OUT019,112458.43786029173
FDL15,OUT027,138961.58131464466
FDL57,OUT017,245788.8374753226
FDU08,OUT046,90775.521377682
FDK40,OUT017,252007.31006686256
FDQ12,OUT010,214557.00534701938
FDS48,OUT017,144303.32501060495
FDP09,OUT045,200612.7953314262
FDW21,OUT049,91731.59254489113
FDY25,OUT035,171833.73521011265
DRE13,OUT017,81628.3891949516
FDV43,OUT019,32307.451505680456
FDD22,OUT045,104848.41801339922
FDM46,OUT019,80003.62977486096
NCO30,OUT010,172467.34932941775
FDM25,OUT046,162393.0923251175
NCN41,OUT049,114505.73581875584
FDU24,OUT045,87252.57984261644
FDZ50,OUT046,171920.18508136022
FDP45,OUT013,233062.53351341857
NCM54,OUT045,118624.38920658774
FDW10,OUT019,158833.5953439804
FDP20,OUT017,122130.82482685115
FDK32,OUT046,140769.6383393344
FDN52,OUT049,80953.94290321377
FDM58,OUT045,104221.69457652084
FDZ46,OUT027,98176.9823842156
NCA18,OUT018,112118.74223604519
FDD35,OUT046,112865.37050119735
NCK31,OUT035,46230.96317182037
FDI40,OUT027,88378.93437538116
FDT50,OUT019,84830.31372370299
NCT06,OUT046,153831.84015504058
FDT31,OUT035,178339.8837252159
FDT45,OUT049,47930.20580493266
FDT13,OUT045,176782.32473199288
FDO50,OUT045,85064.03851619351
NCU18,OUT010,130365.03840907411
NCR54,OUT049,183415.32088641505
NCO18,OUT018,170441.97533061847
FDU09,OUT045,51942.49428694097
FDT13,OUT018,179292.5121870936
FDE09,OUT046,103666.96508003797
NCK53,OUT019,88012.50662149493
FDG45,OUT049,200741.3721528775
DRH15,OUT035,41989.24578183799
FDO21,OUT019,205313.27760687418
FDD14,OUT027,168216.75738770558
FDC09,OUT046,94653.01291130888
FDH45,OUT027,33758.08021989423
FDV32,OUT046,58658.145523723295
FDG12,OUT035,112675.65851645495
FDS32,OUT013,126903.80404520349
NCL55,OUT018,240021.44237893718
DRE01,OUT035,231391.792028916
DRE15,OUT049,70709.9113834285
NCL42,OUT045,233922.52138201453
FDP31,OUT013,54248.56866567234
FDN33,OUT018,89601.27610905076
FDZ59,OUT046,153870.86597278502
FDE45,OUT010,166097.04983828732
FDJ07,OUT013,106076.32240305223
FDQ45,OUT018,176354.51793466645
FDM33,OUT027,201554.57538716437
FDO15,OUT010,68242.5026825069
FDM46,OUT013,81359.23324236504
FDR03,OUT045,194514.92135339289
FDY49,OUT018,159181.6849158419
FDQ60,OUT045,111576.74428254485
FDW10,OUT049,165339.24295412944
FDO51,OUT049,39816.38120690027
FDJ40,OUT018,104181.57613847837
FDS20,OUT018,174217.1723214007
FDU45,OUT013,100429.73487858888
FDV02,OUT035,160674.12388427227
FDN09,OUT046,227763.66598105684
NCM55,OUT027,170554.2132051504
FDN23,OUT018,138358.55909374644
FDY31,OUT010,134438.13881223177
FDW03,OUT010,97608.59537481955
FDD14,OUT046,171646.48009207984
FDV23,OUT017,119994.02185876199
DRI03,OUT045,165825.50180603808
FDN13,OUT035,93837.2364675194
FDF45,OUT027,49511.21100885374
FDU46,OUT035,82489.7605685064
FDB57,OUT049,209471.75985880877
FDV12,OUT049,92350.39450491131
FDQ58,OUT013,137288.85232043153
NCA18,OUT017,110674.82194779316
FDH52,OUT049,55768.12392813638
FDM24,OUT018,143592.68497588436
NCP43,OUT027,165282.16133934143
NCO18,OUT019,159908.0693368412
FDM32,OUT017,87101.97344396412
NCL07,OUT017,36272.95915699105
FDK03,OUT013,234714.0366332054
FDP59,OUT017,97683.83651475207
FDQ24,OUT049,236427.05369947315
FDQ16,OUT018,104955.85493316651
FDU44,OUT013,146412.0976334101
FDH28,OUT010,32887.11103230034
FDV28,OUT019,25586.140120088487
FDM22,OUT045,49647.71568404718
FDR56,OUT046,183706.47803344653
FDV39,OUT049,185057.55735706686
FDU37,OUT019,68373.28883022435
FDQ11,OUT010,240685.95187486836
FDX02,OUT045,211503.82162805216
NCS42,OUT018,88705.48643038858
FDY57,OUT027,82783.92706683559
FDB21,OUT049,228018.58096511557
FDE28,OUT017,219377.371002961
FDQ55,OUT017,108172.9930741817
FDA48,OUT049,209640.15720514746
FDZ19,OUT045,164581.68871997003
NCC43,OUT045,239021.15309143643
NCV18,OUT046,74738.70629646219
NCA42,OUT018,152091.98691226242
FDY45,OUT046,241184.02522255617
NCC30,OUT045,168866.78374322585
FDM57,OUT013,74596.2090160421
FDL09,OUT010,155140.95495286546
FDB09,OUT027,111524.28222978381
FDT44,OUT035,112458.39539302155
NCT06,OUT027,149176.04801028082
FDX26,OUT049,172168.32634810414
FDK32,OUT013,139190.01138198512
DRA12,OUT046,132945.6643136827
FDO46,OUT010,175239.3832719772
FDE52,OUT013,75776.47482617818
NCH42,OUT045,217834.47572312265
FDV08,OUT035,39150.68917227644
FDB47,OUT018,201334.41766552653
FDC28,OUT010,101415.70752716782
FDD22,OUT046,105124.29167639579
FDS07,OUT027,102409.98298204609
DRI13,OUT045,205226.24795053957
FDG32,OUT018,213134.75626026635
FDU14,OUT017,238846.5746919286
FDD28,OUT019,47646.622284551064
NCP41,OUT017,104610.87691090401
FDS08,OUT049,164236.14095977365
FDX47,OUT045,148522.68675886848
FDC53,OUT019,87381.68464577576
FDQ19,OUT035,229120.48139758044
FDL14,OUT045,146025.2768272654
FDM33,OUT019,202569.50398610393
FDA51,OUT045,106263.73699296548
FDZ27,OUT018,46732.842993363025
FDT04,OUT046,36014.59759622572
DRC13,OUT049,116290.75605624307
FDR16,OUT027,197318.1068957364
FDQ03,OUT027,217832.7220954265
FDE38,OUT035,159110.37632207124
DRH23,OUT027,46884.0042539268
FDT11,OUT019,170698.51168874148
FDD09,OUT035,170501.85719803
FDR40,OUT045,76439.14320515326
FDX07,OUT017,175180.02385026775
FDR07,OUT035,91643.67101993672
FDA51,OUT017,109047.28565505217
FDT59,OUT019,211243.39738055618
FDF20,OUT017,186191.34770333662
FDR13,OUT045,107824.6148725261
FDY26,OUT049,197852.8275325789
FDW04,OUT017,123937.20077689657
FDK52,OUT017,216574.8168320986
FDN60,OUT049,147208.8026012021
FDM09,OUT019,154593.2608957755
FDP46,OUT049,81116.89681580893
FDB50,OUT019,67121.44379485892
NCQ29,OUT049,244192.86424936756
FDP16,OUT027,226555.31461570878
FDX33,OUT018,154119.94276398333
FDP07,OUT010,182446.26210779283
FDN22,OUT046,236275.27279986042
FDF39,OUT049,246931.9752363924
FDS21,OUT017,58040.91363492766
NCM42,OUT013,95354.46428751052
FDK50,OUT019,147541.3615828552
DRF13,OUT027,132632.57457960004
FDH35,OUT018,156823.47434444187
FDP60,OUT018,95315.8452771064
DRJ49,OUT027,116624.58375484886
NCT42,OUT019,133071.26194718241
FDE38,OUT049,157226.7150404555
FDI04,OUT049,186797.07391276344
NCH54,OUT045,148873.995827992
FDT56,OUT049,53512.26482859972
DRD15,OUT018,222029.4218394791
FDV58,OUT013,178090.82703439408
FDP21,OUT049,175744.85500887947
FDH05,OUT013,215244.40486708248
FDR10,OUT027,146578.78862963433
NCP06,OUT045,140835.9089915985
FDF33,OUT049,98827.0327455689
DRK37,OUT013,172781.89423445516
DRH49,OUT045,78649.32704615967
FDT58,OUT013,152891.11341183545
FDD41,OUT018,99898.56837446064
FDP40,OUT018,105637.43588323743
FDM51,OUT027,89459.05509006094
FDO45,OUT010,78415.5288300689
FDW33,OUT010,97603.29232306188
FDY24,OUT045,49864.81093609177
FDB10,OUT010,222616.15824631907
FDM40,OUT035,134246.33696306695
NCI06,OUT017,172613.4033817378
FDW12,OUT019,128514.85707008831
FDX48,OUT027,140208.53215673877
NCW05,OUT027,94618.4006657504
FDX27,OUT017,90867.60458773626
DRM37,OUT045,187409.50640307457
FDA38,OUT045,228648.17020925635
FDR36,OUT046,34801.40516737754
FDZ45,OUT046,186286.44154600546
FDG05,OUT017,151261.12135943832
FDK28,OUT013,239779.63334411025
FDV47,OUT045,80076.8380177008
FDN21,OUT045,151410.7606329461
FDP20,OUT027,113811.64683490906
FDI35,OUT045,171670.7150210648
DRY23,OUT013,34434.39089108808
FDA56,OUT017,117165.80607275154
FDB09,OUT013,110685.49613167875
NCO26,OUT027,104397.375847346
FDQ49,OUT018,149774.1624843154
FDI52,OUT027,109232.42603362439
FDZ44,OUT027,104537.23033534481
FDZ09,OUT018,157220.74965789643
FDY03,OUT049,105219.54822788542
NCG42,OUT017,124050.19351300415
DRI13,OUT027,200471.61031470678
FDQ32,OUT013,113027.37976392778
FDW16,OUT035,85885.34872537645
FDU27,OUT046,41522.66427615749
FDR28,OUT010,151345.32857278228
FDQ49,OUT010,146916.01043655747
FDS37,OUT046,107410.67300464804
FDW26,OUT018,210705.93326819834
FDX12,OUT018,230443.03428621238
NCP06,OUT013,136956.22416882854
FDW45,OUT010,134573.1816560371
NCN30,OUT049,87467.51335366664
FDN24,OUT049,47921.82403868949
NCL41,OUT027,23760.31791984336
FDR02,OUT019,95994.0272331478
FDD09,OUT010,168580.96721678297
FDS33,OUT010,78548.72814131726
FDU22,OUT045,112354.66883376146
FDI53,OUT013,148176.8245536632
DRH01,OUT049,164970.58730489
FDX32,OUT013,129558.94652214635
NCP30,OUT018,38348.179503491956
FDB60,OUT045,185137.52216845687
FDB14,OUT049,86434.07890684376
NCP02,OUT035,54410.73673345818
FDJ10,OUT017,133985.1757536487
FDG34,OUT046,102063.67503073743
NCB18,OUT017,83905.80492133649
FDM16,OUT049,68085.37383953395
FDW25,OUT018,80606.51177606118
FDB35,OUT010,83095.46689601318
DRN11,OUT013,129761.37177683873
FDF41,OUT019,228394.8789355111
FDH16,OUT045,82366.42331484627
NCQ50,OUT018,203143.16002429218
DRH23,OUT018,54909.29184973082
DRJ37,OUT013,138028.59280837156
DRJ24,OUT027,168740.46734720803
FDY16,OUT035,174086.85875689297
FDQ27,OUT045,98592.18183901192
FDZ33,OUT045,140008.82933866992
FDF29,OUT045,123563.31028716151
FDA08,OUT049,152935.15662957597
FDG31,OUT046,58797.09413936226
FDE34,OUT019,166492.41444883772
NCR30,OUT027,62820.402636267696
FDV33,OUT035,245320.32783684778
DRZ24,OUT018,115061.14355146942
NCL54,OUT035,164576.0896605375
FDR12,OUT049,162206.5783516318
NCC54,OUT046,227430.59441400634
DRN59,OUT013,36925.73260873868
FDX50,OUT019,96788.87296956801
FDV31,OUT027,162691.63102849596
NCA29,OUT027,157310.77096073207
FDW60,OUT049,165957.09973250295
FDX08,OUT017,174127.52697425414
DRD49,OUT013,218692.42921560592
FDD33,OUT046,217253.30877532996
FDW35,OUT013,33419.94876074678
FDJ36,OUT017,98291.75408817269
FDV51,OUT035,157806.6716125789
FDW36,OUT046,98171.33480015054
FDH35,OUT046,154302.94615842274
NCS30,OUT027,117387.51725343465
FDN49,OUT017,36584.29439158644
FDL08,OUT018,235079.06414137222
FDI09,OUT013,222235.77777783896
FDP19,OUT018,123886.89406240747
FDU21,OUT010,27530.28516323522
NCP41,OUT045,100968.67891104083
FDY10,OUT013,100582.54598217664
FDP12,OUT018,34989.89935145654
NCN26,OUT049,107995.69559440212
FDK44,OUT013,159599.44468539764
FDC28,OUT049,101357.78169383567
FDJ41,OUT027,243613.11403001126
NCT29,OUT035,116914.19034331043
NCH42,OUT019,209453.8499662927
FDU60,OUT018,159844.08634332116
FDS02,OUT045,182527.18826070515
FDC51,OUT046,114014.35655289737
FDU03,OUT013,167397.14131868284
FDX39,OUT045,200291.04818355988
NCY05,OUT010,30988.94288781757
NCL06,OUT027,240454.43013248523
FDD32,OUT035,75441.66312090935
NCN41,OUT045,115388.76814826348
NCX53,OUT049,132304.1257915234
FDU57,OUT019,134550.35558714299
FDQ23,OUT046,95840.08603158244
FDQ52,OUT045,235859.89095036895
FDC14,OUT045,36571.61578874753
FDY09,OUT035,167742.94191081094
FDQ28,OUT045,147538.14038150088
FDV25,OUT046,207479.83724336402
FDJ07,OUT035,109907.18318803124
DRB25,OUT049,98472.31499142741
FDK52,OUT019,206605.6189564212
FDY52,OUT027,52702.71179856112
FDB28,OUT046,185317.2363948106
FDT36,OUT035,33476.36161294849
FDV25,OUT017,211991.01942295456
NCN07,OUT027,116876.00856689812
FDC57,OUT017,184520.48992321393
FDQ03,OUT018,226241.0186733952
FDU23,OUT017,159510.25715374507
NCX41,OUT035,201929.42371224894
NCD06,OUT035,43604.747129087744
FDW08,OUT045,100068.59136726116
NCU29,OUT017,138459.96488370316
NCE06,OUT013,146678.63551917308
FDV52,OUT010,108558.23276925982
FDB02,OUT017,168601.8649605265
NCR18,OUT045,39186.62298140745
FDK16,OUT049,87323.06908800027
NCQ29,OUT010,242819.3504646116
FDZ01,OUT019,90321.11360632899
FDW27,OUT035,148854.06794221772
FDD17,OUT018,227311.64218159724
FDW39,OUT013,161633.52642042594
DRH59,OUT045,67532.20689255535
FDS52,OUT013,90138.04334373074
FDU40,OUT027,178726.61064538953
NCF54,OUT013,158798.5297686781
FDH46,OUT045,96338.83124824785
NCP14,OUT049,96106.54081888314
FDH50,OUT049,174009.9373384137
DRF15,OUT010,142467.8616172246
FDV27,OUT027,75896.1508868003
NCJ06,OUT049,111941.23292550186
FDN02,OUT018,196416.3189639943
FDQ51,OUT049,41151.07934955172
FDQ07,OUT017,212610.0950749035
FDS45,OUT049,97575.56091038579
NCJ06,OUT045,113873.71834243028
FDD36,OUT035,110878.4630852689
FDY25,OUT045,172454.9884612315
FDU52,OUT046,144433.81553646753
DRK47,OUT017,216685.22517349556
NCL30,OUT017,122617.17673976852
FDN22,OUT035,239385.14992807448
NCF30,OUT027,112875.45658386785
FDK03,OUT035,243505.9475164069
FDT45,OUT017,52646.24408799108
NCC54,OUT027,221054.9547878143
FDP08,OUT018,186791.35870038028
FDU44,OUT046,152380.34611983225
DRG39,OUT035,49410.22422616737
FDU32,OUT049,113592.75577713913
FDY27,OUT049,167550.0538356005
NCP54,OUT013,110542.75929889397
NCZ41,OUT049,117948.93485585185
DRL49,OUT013,130003.68370009285
FDI05,OUT018,73291.01435748787
FDY56,OUT045,214373.59363269186
DRC13,OUT013,112340.05527336516
NCV29,OUT017,171383.82810065633
FDR24,OUT049,82186.62133082282
FDZ34,OUT018,182946.69046359466
FDP37,OUT035,119740.88533929424
FDX08,OUT027,165072.7193188908
FDS57,OUT045,133198.24155729852
NCG18,OUT049,94992.84412867916
FDK25,OUT018,161554.24378909063
